109.236.80.151
Sep/30/2020 18:38:19 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:49471->192.168.88.1:53, len 75
Sep/30/2020 18:38:19 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:49471->192.168.88.1:53, len 75
Sep/30/2020 18:38:19 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:57571->192.168.88.1:53, len 78
Sep/30/2020 18:38:19 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:57571->192.168.88.1:53, len 78
Sep/30/2020 18:38:19 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:55291->192.168.88.1:53, len 78
Sep/30/2020 18:38:19 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:55291->192.168.88.1:53, len 78
Sep/30/2020 18:38:21 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:137->192.168.88.255:137, len 78
Sep/30/2020 18:38:21 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:137->192.168.88.255:137, len 78
Sep/30/2020 18:38:21 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:137->192.168.88.255:137, len 78
Sep/30/2020 18:38:21 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:137->192.168.88.255:137, len 78
Sep/30/2020 18:38:22 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:137->192.168.88.255:137, len 78
Sep/30/2020 18:38:22 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:137->192.168.88.255:137, len 78
Sep/30/2020 18:38:22 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:137->192.168.88.255:137, len 78
Sep/30/2020 18:38:22 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:137->192.168.88.255:137, len 78
Sep/30/2020 18:38:22 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:63561->192.168.88.1:53, len 74
Sep/30/2020 18:38:22 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:63561->192.168.88.1:53, len 74
Sep/30/2020 18:38:22 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:63809->192.168.88.1:53, len 65
Sep/30/2020 18:38:22 firewall,info TKSJA: TKSJA input: in:bridge out:(unknown 0), src-mac 04:92:26:d4:00:c2, proto UDP, 192.168.88.254:63809->192.168.88.1:53, len 65
